Medinc	Unemp	Metro
46715	2.4	1
64387	1.9	0
55405	3	0
52122	2.9	0
55486	2	1
48241	4	0
64878	2.8	0
49585	2.6	0
49956	2	1
69048	1.5	0
74794	3.2	0
56492	2.5	0
63491	2	1
59552	4.4	0
64271	2.1	0
59558	1.9	0
50530	2.8	0
56541	2.9	0
49966	2.4	0
58465	2.6	0
53147	2	0
60627	1.9	0
54313	2.5	1
55322	2.2	0
66360	1.9	1
55865	1.8	1
68479	2.5	0
56337	2.3	0
56170	2.3	0
48754	2.8	1
56698	2.4	0
59865	3	0
58862	2	1
70162	1.8	0
57464	1.6	0
56954	3	0
47781	2	0
49887	3.5	0
47905	2.7	1
48226	3.4	1
78192	2.3	0
65849	2.3	0
46725	2.7	0
52093	3.3	0
54433	2.6	1
61807	2.7	0
60059	2.5	0
54802	2.6	0
58150	3.4	0
44423	4	0
50646	3.5	0
49332	4.6	0
47634	2.6	0
49991	3.3	0
41807	4.2	1
47529	3	0
65953	3.5	0
50981	2.6	0
41129	4	0
44475	3.8	0
43274	2.4	0
51235	2.4	0
52681	3.2	0
44467	3.5	0
58371	4.8	0
46818	2.5	0
47864	3.4	0
43852	4	0
44774	3	1
50605	3.5	1
50949	3.5	0
57120	3.1	0
46962	2.4	0
37360	3.3	0
53840	2.4	0
50261	2.8	0
56206	2.5	0
56052	2.6	0
58033	3.6	0
50856	4.8	0
49626	2.2	0
41906	3.2	0
61614	2.8	0
65771	2	0
51606	2	0
43083	3.6	0
51559	2	1
45570	2.9	0
57934	3.2	0
60808	2.2	1
54058	2.5	1
56330	3	0
69246	3.3	1
44271	2.8	0
87087	2.9	1
63248	2.4	0
56005	3.2	0
64399	2.4	0
44571	4	1
59240	2.8	0
70807	3.6	1
44439	2.5	0
47153	5.9	0
50267	2.2	0
47982	3.5	0
58017	2.6	0
51712	3.1	0
51066	2.6	1
67220	2.1	0
71770	3.6	0
51514	2.3	0
42479	4.3	0
49287	2.8	0
53785	3.3	0
59567	2.3	0
46176	4.9	0
51757	2.8	1
47252	2.1	0
53864	3.8	0
46101	2.6	0
56451	2.9	0
47039	3.2	1
47405	2.5	0
69975	2.8	0
52567	2.8	0
46638	2.1	0
49341	3.6	0
48566	2.7	1
51686	2.9	0
47057	2.9	0
47365	3.2	0
44121	2.7	0
45879	3	0
53961	3.1	1
63790	2	0
56381	3.8	1
50671	3.3	0
53612	3.5	0
50553	2.3	0
45966	2.8	0
41899	2.5	0
47835	2.7	0
60136	2.6	1
58817	2.8	0
56946	3.5	0
55345	2.6	1
48520	3.2	0
59744	3.2	0
51350	2.6	0
48104	2.7	0
59800	2.2	0
45697	4.4	1
47084	4.8	0
50189	4.3	1
37392	5.1	0
44624	3.7	0
60908	3.6	0
47658	6.9	0
42439	4.4	0
44183	6.7	1
29362	6.3	1
77696	3.4	1
48614	4	0
48020	5.9	1
47528	4.4	0
56432	4.9	0
31182	7.3	1
47284	5.4	1
61022	4.1	0
43048	4.9	0
43659	4.7	1
41873	3.9	0
60904	3.3	0
41249	4.9	0
47623	4.1	0
32906	9.2	1
34358	4.7	1
40299	5.2	0
50162	4.1	0
28146	7.1	0
31118	5.5	0
43624	5.2	1
33541	4.5	1
51441	4	0
43151	5.3	0
35446	9.3	1
35701	5.5	0
55358	3.3	0
42571	5.4	0
33218	6.6	0
53134	3.7	1
32355	5.8	0
49060	4.1	1
51203	4.4	0
53965	4.3	0
46785	5	0
40780	4.9	1
36782	4.3	1
49457	6.6	1
56769	4.2	0
52278	4.1	0
29521	7.4	0
51709	4.1	1
37038	4	1
51161	3.8	0
53405	3.9	0
44290	5.7	0
45512	4.4	1
35317	7	1
55860	4.1	0
59443	3.6	1
39381	6.9	0
64644	3.4	0
32228	6.9	1
30742	6.2	0
45458	4.4	0
41425	5.1	0
36667	7.2	0
29124	6.3	0
31921	7.1	0
32321	6.5	0
35751	8.4	0
42190	5	0
48182	6.8	0
46742	3.9	0
48395	5.1	0
48950	5.6	1
30029	6.3	0
48080	4.9	0
51897	3.9	0
30950	13.2	0
45661	3.8	0
52388	5.3	0
28925	6.5	1
41807	5.5	0
57613	4.6	0
34002	7.6	0
53921	4.5	0
35906	4.1	0
35596	4.1	0
46629	6	0
35848	6.3	0
43722	6.7	0
55602	4.3	0
41428	4.6	1
44751	5.7	0
102136	3.3	0
48998	4.9	1
26278	7.1	0
54583	4.1	0
33108	6.3	0
37124	5.9	0
37776	6	0
41541	5.1	0
45146	4.9	0
37732	4.9	0
41196	5.2	1
34648	5.8	1
73500	3.3	0
66056	3.5	1
51769	3.9	0
85899	3.6	0
45429	4.3	1
51027	4	1
49767	4.7	0
51674	4.3	1
47067	5	0
53478	3.7	0
50246	3.7	0
33701	7	0
47132	4.2	0
36863	5	1
66164	3.1	1
48021	4.9	0
40484	5.4	1
44395	5.6	0
77758	4.1	0
48120	6.7	0
37731	5.7	0
57005	5.3	1
34047	5.8	1
56754	4.3	1
40467	5.5	0
50531	3.8	1
40842	5.7	0
57299	3.5	0
35812	6.8	0
33659	5.2	1
35840	7	1
44457	5.7	0
52945	4.3	1
27714	10.3	0
45174	4.7	0
34113	5.8	1
34446	7.1	1
43502	5.9	1
42909	5.8	0
47917	6.2	1
40828	4.6	0
50871	4.4	1
44492	4.7	1
57821	4.5	0
52651	4.7	0
45742	4.4	1
36525	5.2	0
63088	4.1	0
28452	8.3	0
34023	8.2	1
36298	5.8	1
38855	5	1
44371	5.2	1
58643	4.6	1
46603	5.4	0
48116	5.3	0
36865	4.4	0
35103	6.2	1
36423	5.2	1
43983	5	1
67585	4.4	1
38699	6.6	1
53903	6.2	0
50830	5.7	1
36624	6.2	0
46229	5.2	1
39764	6.6	1
67054	4.2	0
47128	5.5	1
28962	7.7	1
51665	5	1
43584	5.7	0
48263	5.3	0
47664	6.6	1
36850	5.7	1
35070	6.1	0
58205	4.4	1
39332	9.2	0
40133	6.3	1
55579	3.4	0
49935	3.3	1
39450	4.8	0
71586	2.7	0
49561	4	0
52148	3.8	0
52154	3.2	0
56678	3.2	0
56211	3.3	1
44243	4	0
47840	3.8	1
40066	4.2	0
65969	2.7	0
43755	4.8	0
49482	3.5	1
65984	3	1
83076	3.9	1
43535	5.5	1
97051	3.3	1
75836	4	0
106270	3.5	1
56627	3.8	1
95956	3.2	1
72739	4.4	0
92616	3.9	1
48682	5.2	0
95196	3.5	1
49147	4.8	1
87959	3.6	0
116719	3	1
55514	4.3	1
107758	3.2	1
82445	4.1	1
93751	3.3	1
89964	3.8	0
42098	6.9	1
64245	3.7	1
62556	4.3	1
54313	5.2	1
50501	5.7	1
79817	3.3	1
69001	4.3	1
58375	4	0
66005	4.3	1
70224	4.6	0
76373	3.4	1
58992	3	1
52682	4.6	1
74456	3	0
100374	2.7	1
97525	4.4	1
100184	3	1
89678	3.5	1
71767	3.5	0
56640	4.1	0
39862	6.6	0
47441	7.8	0
62247	3.3	0
42792	5.1	0
56456	5.6	0
42540	7.1	1
43435	6.1	1
64121	3.4	0
50576	4.8	1
51905	5.5	0
51509	4.3	1
50477	3.7	1
48413	4.2	0
55978	4.1	0
54491	4.7	0
48589	9.2	0
47380	6.6	1
39394	6.1	0
70967	3.2	0
46930	6	0
49292	5.3	1
52348	3.8	0
66716	3.5	1
58891	5.9	0
48370	4.9	0
44635	5.6	0
39934	5.1	0
64591	3.7	0
48988	4.7	0
50388	4	0
42282	5.1	1
45817	4.6	0
52837	3.6	0
61667	3.4	0
41256	6.4	0
40959	5.6	1
47056	3.9	1
52047	3.9	0
55881	3.4	1
46068	5.9	0
61675	3	0
51641	6.9	1
36044	6.9	0
65209	5.2	0
67349	4.2	1
55762	4.1	0
84048	3.3	0
43196	6.2	1
46645	9.7	0
62191	4	0
47401	5.7	0
54093	4.9	0
51083	4.9	0
45804	5	1
46486	4	0
58057	4	1
48413	5	1
62522	4.2	0
50396	4.2	1
40650	8.6	0
49960	4.5	1
48860	4.3	0
80319	3.3	0
50374	6.1	0
41201	7	0
40798	7.8	0
45607	4.4	0
38927	6.4	1
51292	5.2	0
70420	2.8	0
45502	8	1
38613	7.8	1
48805	4.8	0
56557	4.7	0
52689	3.7	0
46184	5.1	0
44887	7.1	0
54149	4.3	1
51113	5.5	1
57363	4.8	1
72267	3	0
46396	4.7	0
70295	2.9	1
44016	5.6	0
82284	2.8	0
59440	3.6	1
47073	4.1	0
61341	3.5	1
51058	3.8	0
58132	2.5	1
60626	3.4	1
60412	4.1	0
104248	2.5	0
48651	5.1	1
53540	3.2	1
82814	3.4	0
65914	2.9	0
51475	8.1	0
54465	3.5	0
51788	3.6	1
53481	3.9	1
86403	2.5	0
75955	3	0
60979	2.8	1
52560	3.5	0
58761	3.1	0
52010	3.2	0
67039	2.7	1
54917	4	1
76067	2.5	0
59613	2.9	1
55687	5	0
73468	3.7	0
53143	5.4	0
57786	2.9	0
56950	5.5	0
60579	2.9	0
54438	2.9	0
46281	6.1	0
52445	3.6	0
61015	3.1	1
52058	3.8	0
67269	4.1	0
51305	3	0
57690	2.9	0
61959	3.1	0
43162	4.6	0
58105	5.8	0
50821	3.1	1
66557	3.5	0
53289	4.8	0
57471	4.7	0
53387	2.7	1
59938	3.7	0
66209	2.2	0
55766	2.6	1
48799	4.3	0
76001	2.3	0
53778	3.6	0
57494	4.2	0
50387	4.8	1
55378	2.9	0
60180	3.7	1
60975	2.6	0
62937	2.7	0
54412	5.2	0
56760	3.6	0
59787	3.9	0
67024	2.8	0
63503	2.3	1
60239	3.3	1
53833	3.7	1
101427	2.5	1
81850	3.2	1
66209	3.2	0
60843	2.9	0
65323	2.9	0
61929	2.4	0
51552	3.7	0
58113	3.9	1
49773	3.2	0
63633	2.9	0
46312	5.2	1
58335	4.1	0
95840	2.5	0
51962	3.5	0
61387	3	1
56076	2.6	0
56528	3	0
44740	4.8	0
33392	6.2	0
40010	4.1	0
38092	6	1
36761	5.7	0
35184	5.6	0
33116	6.1	0
39176	4.3	0
42588	5.5	0
37429	5	0
38479	4.8	0
29631	9.2	0
41495	5.6	0
38121	6	1
29380	6.8	0
38664	5.5	1
36083	4.4	1
68126	3.8	0
39061	4.4	0
39508	6	0
47246	6.4	0
42022	6.2	1
39633	4.3	1
49843	5	1
45355	4.5	0
44776	4.6	0
26449	8.9	0
28542	8.4	0
26936	9	1
45720	4.1	0
51771	5.5	0
36987	5.8	0
28024	13.3	0
31739	6.7	0
42435	4.8	0
33437	7.4	1
49381	3.9	0
58377	3.6	0
40077	5	0
40510	6	0
37212	4.9	0
51088	3.9	0
29244	6.8	0
43478	4.7	1
44348	4.8	0
75740	3.7	1
36408	5.1	0
40285	5	0
44681	4.9	0
36311	5.3	0
36236	4.9	0
40792	4.9	0
32167	6.7	0
39130	4.7	0
39198	5.9	1
45268	4.7	0
39687	5.9	0
33983	5.7	0
44297	3.9	0
41281	4.3	1
27767	7.6	0
66296	3.4	0
38034	3.9	1
28887	7	0
38173	4.5	0
46764	4.4	0
44622	5.4	0
31329	7.8	1
32692	5.3	0
48082	4.9	0
39833	4.3	1
41455	4.6	0
33143	5.3	0
46600	3.5	0
33566	6.5	0
46049	5.5	0
33991	7.1	0
37401	5.4	0
43349	5	0
29900	8.5	0
39498	5.6	1
33111	5.5	0
54412	3.2	1
40395	3.5	0
57459	2.7	0
49122	2.5	0
44340	3.1	0
42457	3	1
41583	3.1	0
45955	3.8	1
40025	4.5	1
44233	3.6	1
55136	2.3	0
52506	3	1
38067	4.6	1
47591	3.1	0
53970	2.9	1
48580	4.2	0
51962	2.8	0
47049	3.1	1
34134	5.1	0
71374	3.1	0
37288	3.4	1
48421	2.8	0
58057	2.6	1
46832	3.9	1
68943	2.9	1
58641	3.2	0
62817	2.5	0
52513	3.1	0
42774	3.9	1
41381	2.7	0
38765	3.9	1
51255	3	0
48920	3.1	0
39392	3.3	0
36762	4.6	1
37331	5.5	0
58738	3.1	0
52282	2.9	1
43731	2.4	0
44799	2.6	0
40315	3.6	0
40639	3.1	0
44978	3.6	0
35025	4.1	0
47191	2.4	0
45767	2.8	0
36762	3.6	1
37755	5.4	1
55864	3.7	1
46596	2.7	0
65150	3.1	0
52151	3.7	0
39309	2.8	1
44562	3.7	0
53389	3.2	0
45074	3	1
48179	2.8	0
62238	3.3	0
44992	4.7	1
48749	2.5	0
40204	3	0
45440	2.9	0
40191	3.6	0
46371	3.3	0
49393	3.1	0
46014	3.1	0
47225	3.7	1
34735	3.8	0
57047	3	0
46216	3.6	0
48951	2.9	0
45276	4.3	1
38093	4.8	0
49220	3	0
46698	2.9	1
32720	3.5	0
58855	2.4	0
34367	5.2	0
31831	5.5	0
53871	2.3	0
45254	4.1	0
43079	3.1	1
43591	3.6	1
82567	2.6	0
45336	3.6	0
52532	3.6	0
40866	3.4	0
57549	2.8	1
44975	3.8	0
58693	3.6	0
36592	3.1	1
32802	5.2	0
82048	2.5	0
37013	4.4	0
59043	2.8	1
45584	3.7	0
66992	3	0
43776	3	0
39463	4.1	0
42053	2.9	0
44261	3.4	0
32715	5	0
44564	3	0
40808	4.4	0
46026	4.7	0
41978	3.1	0
40887	5.2	0
34824	4.1	1
42552	3.1	0
